model,weighted_f1,macro_f1,micro_f1,high_f1,low_f1,medium_f1,fold
logistic_regression,0.818202303818071,0.7216694471837958,0.8128898128898129,0.5772357723577236,0.8923454768726975,0.6954270923209663,1.0
logistic_regression,0.8366808139986232,0.7451577191199985,0.8316008316008316,0.610909090909091,0.9088689991863304,0.715695067264574,2.0
logistic_regression,0.822416812172006,0.7244926950761766,0.8165280665280665,0.5714285714285714,0.8930194134655102,0.7090301003344481,3.0
logistic_regression,0.8329152578205583,0.742864186690119,0.8273530941237649,0.6055776892430279,0.9001233045622689,0.7228915662650602,4.0
logistic_regression,0.8446688395889044,0.7643322473710233,0.8408736349453978,0.6470588235294118,0.9082755809213209,0.7376623376623377,5.0
random_forest,0.8618310974039997,0.7906768116393664,0.8659043659043659,0.6871165644171779,0.9185242121445042,0.7663896583564174,1.0
random_forest,0.8819026259666719,0.8130134141654578,0.8846153846153846,0.7065868263473054,0.9324534161490683,0.8,2.0
random_forest,0.8626311987331199,0.7890697830792591,0.8669438669438669,0.6797385620915033,0.9196462898885044,0.7678244972577697,3.0
random_forest,0.8672769180489441,0.8113452635126149,0.8715548621944877,0.7425149700598802,0.920550038197097,0.7709707822808671,4.0
random_forest,0.8743575182536192,0.8106730826284251,0.8783151326053042,0.7204968944099379,0.9267357115458381,0.7847866419294991,5.0
extra_trees,0.8638640645790717,0.7961380438701093,0.8674636174636174,0.6987951807228916,0.9186897880539499,0.7709291628334867,1.0
extra_trees,0.8889290020393953,0.8300080995375186,0.8908523908523909,0.7428571428571429,0.9348927875243664,0.8122743682310469,2.0
extra_trees,0.8612162134506567,0.7859950267913819,0.8638253638253638,0.6708860759493671,0.9171875,0.7699115044247787,3.0
extra_trees,0.8663227371315407,0.8037880243337708,0.8694747789911597,0.7191011235955056,0.9204633204633205,0.7717996289424861,4.0
extra_trees,0.8790212666690084,0.810242548262372,0.8819552782111284,0.7058823529411765,0.9307007355787844,0.7941445562671546,5.0
lightgbm,0.8530162815468723,0.7974033535472375,0.8534303534303534,0.7282608695652174,0.9056304520222046,0.7583187390542907,1.0
lightgbm,0.8727383006000862,0.8115617074660664,0.8721413721413721,0.7225130890052356,0.9214743589743589,0.7906976744186046,2.0
lightgbm,0.856477758627934,0.7899518950164461,0.8565488565488566,0.6941176470588235,0.9101796407185628,0.7655583972719523,3.0
lightgbm,0.8579017873082428,0.791016222696728,0.858034321372855,0.6951871657754011,0.9121272365805169,0.7657342657342657,4.0
lightgbm,0.8662378478378044,0.8115288820673765,0.8668746749869994,0.7415730337078652,0.9165017807677087,0.7765118317265557,5.0
catboost,0.8344026943221975,0.7594134916969798,0.83004158004158,0.647887323943662,0.8924731182795699,0.7378800328677074,1.0
catboost,0.8462635927253408,0.7714266319457517,0.8414760914760915,0.6639676113360324,0.9069192751235585,0.7433930093776641,2.0
catboost,0.8341786164847459,0.7645439085809205,0.83004158004158,0.6666666666666666,0.892104175279041,0.734860883797054,3.0
catboost,0.8419567942062945,0.7693479569685554,0.8377535101404057,0.6666666666666666,0.9017673653925196,0.73960983884648,4.0
catboost,0.8594827298910184,0.8048154036846564,0.8564742589703588,0.7348837209302326,0.909688013136289,0.7698744769874477,5.0
xgboost,0.8679588428529923,0.8081514263947575,0.8731808731808732,0.7295597484276729,0.9215611974232664,0.7733333333333333,1.0
xgboost,0.8816077848582475,0.8259844782966619,0.8846153846153846,0.75,0.9294253760123409,0.7985280588776449,2.0
xgboost,0.8579914659094173,0.78380793899229,0.8633056133056133,0.6754966887417219,0.9168573607932876,0.7590697674418605,3.0
xgboost,0.8722857542049975,0.8172887385548493,0.8772750910036401,0.75,0.9249431387414708,0.7769230769230769,4.0
xgboost,0.878693419774422,0.8101663583521675,0.8835153406136246,0.7080745341614907,0.9315068493150684,0.7909176915799432,5.0
xgboost_tuned,0.8661328432098613,0.8013776567629876,0.8711018711018711,0.7116564417177914,0.9209125475285171,0.771563981042654,1.0
xgboost_tuned,0.8777041594347217,0.8131654515541861,0.8809771309771309,0.718562874251497,0.9286540686463556,0.7922794117647058,2.0
xgboost_tuned,0.8593933299021908,0.788977819879059,0.8643451143451143,0.6887417218543046,0.9170806266717616,0.7611111111111111,3.0
xgboost_tuned,0.8720423796620196,0.8127708997170465,0.8767550702028081,0.7349397590361446,0.9250665652339293,0.7783063748810657,4.0
xgboost_tuned,0.8797274738184389,0.8130815767567988,0.8845553822152886,0.7160493827160493,0.9326740205401294,0.790521327014218,5.0
lightgbm_tuned,0.8536329575442064,0.789502267868388,0.853950103950104,0.7,0.9074294795391339,0.7610773240660296,1.0
lightgbm_tuned,0.8738274292516437,0.8180824161506371,0.8726611226611226,0.7395833333333334,0.9200968523002422,0.7945670628183361,2.0
lightgbm_tuned,0.8551973625120382,0.7850056055434895,0.854989604989605,0.6818181818181818,0.9104,0.7627986348122867,3.0
lightgbm_tuned,0.8589355466898566,0.7955029775990403,0.859074362974519,0.7065217391304348,0.9116945107398569,0.7682926829268293,4.0
lightgbm_tuned,0.8719119259263681,0.8182380165283738,0.8725949037961519,0.7486033519553073,0.9205219454329775,0.7855887521968365,5.0
stacked_logistic_top_models,0.8423609621003117,0.7724151915103596,0.840956340956341,0.6785714285714286,0.9036918138041734,0.734982332155477,1.0
stacked_logistic_top_models,0.8597934080677739,0.7866180403439129,0.8575883575883576,0.6808510638297872,0.9186140209508461,0.7603890362511052,2.0
stacked_logistic_top_models,0.8517582503654463,0.7732389199101214,0.8492723492723493,0.6578947368421053,0.9135702746365105,0.7482517482517482,3.0
stacked_logistic_top_models,0.854909171038985,0.7820277384025762,0.8533541341653667,0.6784140969162996,0.914560770156438,0.7531083481349912,4.0
stacked_logistic_top_models,0.8530370358954293,0.7652579744970671,0.8502340093603744,0.6283185840707964,0.9163636363636364,0.7510917030567685,5.0
